username,texto_resena,id_restaurante
juan_p,"Excelente lugar, la comida estuvo deliciosa, el mozo fue muy amable y la decoración es preciosa. Volveré pronto.",1
luisa_m,"La pizza es una maravilla, muy buen sabor. Lamentablemente tuvimos que esperar 45 minutos a que nos atiendan y el mozo ni se disculpó. El lugar es normal.",1
carlos_v,"El local es muy acogedor y la música de fondo es perfecta. La señorita que nos atendió fue un amor. Pero la pasta estaba fría y sin sal, una decepción culinaria.",1
marta_88,"Pésima experiencia. La carne estaba cruda, el mesero fue grosero y para colmo el aire acondicionado estaba malogrado y hacía un calor insoportable.",2
diego_f,"Los makis estuvieron espectaculares y la atención fue rapidísima. El único gran problema es que las mesas están muy juntas y el ruido no te deja conversar.",2
ana_sofia,"El restaurante tiene una terraza hermosa con vista al parque. La comida no es nada del otro mundo, cumple su función. Lo malo es que los meseros te ignoran por completo.",1
pedro_g,"Bonita decoración e iluminación, pero ahí acaba lo bueno. Se demoraron una eternidad en traer la cuenta y la hamburguesa estaba quemada.",2
rosa_l,"El ceviche es el mejor que he probado en la zona. La atención fue estándar, ni buena ni mala. Sin embargo, los baños estaban sucios y el piso pegajoso.",1
jorge_t,"Un lugar promedio. La comida está bien para el precio, el servicio cumple y el ambiente es pasable. No me quejo pero tampoco me emociona.",2
lucia_k,"Me encantó la atención de Luis, nos hizo sentir en casa. La lasaña estaba un poco seca, le faltaba salsa. El ambiente es un poco oscuro para mi gusto.",1